id,attemptId,questionId,chosenOption,createdAt,updatedAt
101,13,44,2,"2022-01-15 00:00:00","2022-01-20 00:00:00"
102,13,45,0,"2022-03-22 00:00:00","2022-03-29 00:00:00"
103,13,47,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
104,14,61,3,"2023-07-19 00:00:00","2023-07-28 00:00:00"
105,14,62,3,"2024-02-28 00:00:00","2024-03-02 00:00:00"
106,14,63,1,"2024-11-05 00:00:00","2024-11-05 00:00:00"
107,14,64,1,"2022-09-13 00:00:00","2022-09-18 00:00:00"
108,14,65,0,"2023-12-25 00:00:00","2023-12-28 00:00:00"
109,14,68,0,"2024-04-17 00:00:00","2024-04-19 00:00:00"
110,14,70,1,"2022-06-30 00:00:00","2022-07-10 00:00:00"
111,15,62,1,"2022-01-15 00:00:00","2022-01-20 00:00:00"
112,15,63,0,"2022-03-22 00:00:00","2022-03-29 00:00:00"
113,15,64,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
114,15,65,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
115,15,66,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
116,15,68,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
117,15,69,2,"2022-09-13 00:00:00","2022-09-18 00:00:00"
118,16,61,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
119,16,62,1,"2024-04-17 00:00:00","2024-04-19 00:00:00"
120,16,63,2,"2022-06-30 00:00:00","2022-07-10 00:00:00"
121,16,64,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
122,16,65,1,"2022-03-22 00:00:00","2022-03-29 00:00:00"
123,16,66,0,"2023-05-10 00:00:00","2023-05-13 00:00:00"
124,16,67,2,"2023-07-19 00:00:00","2023-07-28 00:00:00"
125,16,68,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
126,16,70,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
127,17,71,2,"2022-09-13 00:00:00","2022-09-18 00:00:00"
128,17,72,3,"2023-12-25 00:00:00","2023-12-28 00:00:00"
129,17,74,3,"2024-04-17 00:00:00","2024-04-19 00:00:00"
130,17,75,3,"2022-06-30 00:00:00","2022-07-10 00:00:00"
131,17,76,1,"2022-01-15 00:00:00","2022-01-20 00:00:00"
132,17,77,2,"2022-03-22 00:00:00","2022-03-29 00:00:00"
133,17,78,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
134,17,79,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
135,17,80,2,"2024-02-28 00:00:00","2024-03-02 00:00:00"
136,18,72,2,"2024-11-05 00:00:00","2024-11-05 00:00:00"
137,18,74,3,"2022-09-13 00:00:00","2022-09-18 00:00:00"
138,18,76,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
139,18,77,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
140,18,80,0,"2022-06-30 00:00:00","2022-07-10 00:00:00"
141,19,71,2,"2022-01-15 00:00:00","2022-01-20 00:00:00"
142,19,73,1,"2022-03-22 00:00:00","2022-03-29 00:00:00"
143,19,74,3,"2023-05-10 00:00:00","2023-05-13 00:00:00"
144,19,75,2,"2023-07-19 00:00:00","2023-07-28 00:00:00"
145,19,76,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
146,19,77,3,"2024-11-05 00:00:00","2024-11-05 00:00:00"
147,19,78,1,"2022-09-13 00:00:00","2022-09-18 00:00:00"
148,19,79,0,"2023-12-25 00:00:00","2023-12-28 00:00:00"
149,19,80,1,"2024-04-17 00:00:00","2024-04-19 00:00:00"
150,20,82,0,"2022-06-30 00:00:00","2022-07-10 00:00:00"
151,20,83,0,"2022-01-15 00:00:00","2022-01-20 00:00:00"
152,20,84,1,"2022-03-22 00:00:00","2022-03-29 00:00:00"
153,20,85,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
154,20,88,2,"2023-07-19 00:00:00","2023-07-28 00:00:00"
155,20,89,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
156,21,81,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
157,21,82,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
158,21,83,3,"2023-12-25 00:00:00","2023-12-28 00:00:00"
159,21,84,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
160,21,85,2,"2022-06-30 00:00:00","2022-07-10 00:00:00"
161,21,86,1,"2022-01-15 00:00:00","2022-01-20 00:00:00"
162,21,87,3,"2022-03-22 00:00:00","2022-03-29 00:00:00"
163,21,88,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
164,21,89,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
165,21,90,2,"2024-02-28 00:00:00","2024-03-02 00:00:00"
166,22,91,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
167,22,93,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
168,22,94,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
169,22,95,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
170,22,97,2,"2022-06-30 00:00:00","2022-07-10 00:00:00"
171,22,99,1,"2022-01-15 00:00:00","2022-01-20 00:00:00"
172,22,100,1,"2022-03-22 00:00:00","2022-03-29 00:00:00"
173,23,93,3,"2023-05-10 00:00:00","2023-05-13 00:00:00"
174,23,94,1,"2023-07-19 00:00:00","2023-07-28 00:00:00"
175,23,95,1,"2024-02-28 00:00:00","2024-03-02 00:00:00"
176,23,97,1,"2024-11-05 00:00:00","2024-11-05 00:00:00"
177,23,98,2,"2022-09-13 00:00:00","2022-09-18 00:00:00"
178,23,99,3,"2023-12-25 00:00:00","2023-12-28 00:00:00"
179,23,100,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
180,24,101,2,"2022-06-30 00:00:00","2022-07-10 00:00:00"
181,24,102,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
182,24,103,2,"2022-03-22 00:00:00","2022-03-29 00:00:00"
183,24,104,3,"2023-05-10 00:00:00","2023-05-13 00:00:00"
184,24,105,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
185,24,106,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
186,24,107,1,"2024-11-05 00:00:00","2024-11-05 00:00:00"
187,24,108,1,"2022-09-13 00:00:00","2022-09-18 00:00:00"
188,24,109,3,"2023-12-25 00:00:00","2023-12-28 00:00:00"
